,dbas,wind,precipitation,noise,taxi
158,56.48430119477633,5.1,0.0,0.0,484
159,56.88740451388889,2.6,0.0,0.0,516
160,56.1735551542095,2.85,0.0,0.0,475
161,56.647847222222225,3.6,0.0,0.0,529
162,56.89828771881078,4.6,0.0,0.0,522
163,56.285321180555556,4.1,0.0,0.0,438
164,56.0127900111142,3.6,0.0,0.0,351
165,55.743359375,5.7,0.0,0.0,299
166,55.73164420672409,5.15,0.0,0.0,222
167,55.081380208333336,6.2,0.0,0.0,163
168,54.43652750764101,6.7,0.0,0.0,87
169,54.08879774305556,7.449999999999999,0.0,0.0,57
170,52.41800673798277,6.7,0.0,0.0,27
171,52.078272569444444,7.7,0.0,0.0,17
172,52.64584346346207,8.25,0.0,0.0,27
173,53.284396701388886,4.4,0.0,0.0,65
174,54.717786458333336,9.3,0.0,0.0,145
175,56.48828233537094,8.75,0.0,0.0,277
176,60.632495659722224,7.2,0.0,0.0,413
177,62.262208252292304,6.7,0.0,0.0,463
178,58.71388454861111,6.7,0.0,0.0,396
179,59.27390420950264,7.2,0.0,0.0,350
180,58.39632378472222,7.2,0.0,0.0,384
181,58.884898582939705,6.45,0.0,0.0,409
182,59.485980902777776,5.7,0.0,0.0,412
183,58.64918206446235,5.1,0.0,0.0,437
184,57.63396701388889,5.1,0.0,0.0,394
185,58.8309122325646,4.1,0.0,0.0,469
186,59.36908420138889,4.6,0.0,0.0,585
187,58.385449951375385,5.15,0.0,0.0,533
188,59.85722222222222,4.1,0.0,0.0,478
189,57.6338957001945,4.1,0.0,0.0,434
190,56.405147569444445,5.2749999999999995,0.125,0.0,359
191,56.64820523061962,6.666666666666667,0.2333333333333333,0.0,210
192,55.68169704861111,5.1,0.0,0.0,154
193,53.658438107807726,5.1,0.25,0.0,57
194,53.18278645833333,5.7,0.0,0.0,32
195,53.10624044873576,5.1,0.0,0.0,12
196,52.812486979166664,5.4,0.0,0.0,19
197,54.756809895833335,2.55,0.25,0.0,44
198,57.16815868991387,5.7,0.0,0.0,142
199,57.66568142361111,5.7,0.0,0.0,283
200,58.97723325923868,3.6,0.0,0.0,493
201,59.18964409722222,5.7,0.0,0.0,534
202,57.97474124756877,5.95,0.0,0.0,398
203,58.434010416666666,6.2,0.0,0.0,383
